"","SampleName","cell","dex","Run","avgLength","Experiment","Sample","BioSample"
"SRR1039508","GSM1275862","tissue: human airway smooth muscle cells","untrt","SRR1039508",126,"SRX384345","SRS508568","SAMN02422669"
"SRR1039509","GSM1275863","tissue: human airway smooth muscle cells","untrt","SRR1039509",126,"SRX384346","SRS508567","SAMN02422675"
"SRR1039510","GSM1275864","tissue: human airway smooth muscle cells","untrt","SRR1039510",126,"SRX384347","SRS508570","SAMN02422668"
"SRR1039511","GSM1275865","tissue: human airway smooth muscle cells","untrt","SRR1039511",126,"SRX384348","SRS508569","SAMN02422667"
"SRR1039512","GSM1275866","tissue: human airway smooth muscle cells","untrt","SRR1039512",126,"SRX384349","SRS508571","SAMN02422678"
"SRR1039513","GSM1275867","tissue: human airway smooth muscle cells","untrt","SRR1039513",87,"SRX384350","SRS508572","SAMN02422670"
"SRR1039514","GSM1275868","tissue: human airway smooth muscle cells","untrt","SRR1039514",126,"SRX384351","SRS508574","SAMN02422681"
"SRR1039515","GSM1275869","tissue: human airway smooth muscle cells","untrt","SRR1039515",114,"SRX384352","SRS508573","SAMN02422671"
"SRR1039516","GSM1275870","tissue: human airway smooth muscle cells","untrt","SRR1039516",120,"SRX384353","SRS508575","SAMN02422682"
"SRR1039517","GSM1275871","tissue: human airway smooth muscle cells","untrt","SRR1039517",126,"SRX384354","SRS508576","SAMN02422673"
"SRR1039518","GSM1275872","tissue: human airway smooth muscle cells","untrt","SRR1039518",126,"SRX384355","SRS508578","SAMN02422679"
"SRR1039519","GSM1275873","tissue: human airway smooth muscle cells","untrt","SRR1039519",107,"SRX384356","SRS508577","SAMN02422672"
"SRR1039520","GSM1275874","tissue: human airway smooth muscle cells","untrt","SRR1039520",101,"SRX384357","SRS508579","SAMN02422683"
"SRR1039521","GSM1275875","tissue: human airway smooth muscle cells","untrt","SRR1039521",98,"SRX384358","SRS508580","SAMN02422677"
"SRR1039522","GSM1275876","tissue: human airway smooth muscle cells","untrt","SRR1039522",125,"SRX384359","SRS508582","SAMN02422680"
"SRR1039523","GSM1275877","tissue: human airway smooth muscle cells","untrt","SRR1039523",126,"SRX384360","SRS508581","SAMN02422674"
